NM_MUN,bairro,n_setores,pop,casos,taxa,cum_casos_pct,cum_pop_pct
Itaquaquecetuba,Campo Limpo,84,50348,25.0,9.930881067768333,14.292891233358453,16.812295087914404
Santo André,Vila Palmares,27,12832,24.0,37.406483790523694,14.347697015368455,16.874780658943266
Osasco,Presidente Altino,23,13699,24.0,35.03905394554347,14.402502797378459,16.9414880964062
São Bernardo do Campo,Nova Petrópolis,56,25585,24.0,18.760992769200705,14.457308579388458,17.06607454705874
Guarulhos,Paraventi,20,11071,23.0,41.549995483696144,14.509830787148045,17.11998490841009
Osasco,Santo Antônio,29,13510,23.0,34.048852701702444,14.562352994907629,17.185772008207465
Osasco,Vila Yolanda,25,12300,22.0,35.77235772357724,14.6125916284168,17.245666999140678
Barueri,Boa Vista,19,11805,22.0,37.272342227869544,14.662830261925967,17.30315158190219
São Bernardo do Campo,Santa Terezinha,51,25641,22.0,17.16001716001716,14.713068895435136,17.428010725196376
Guarulhos,Vila Augusta,89,35319,22.0,12.457883858546392,14.763307528944303,17.59999700038094
São Bernardo do Campo,Jordanópolis,34,14568,21.0,28.83031301482702,14.811262588203055,17.670936043300863
Santo André,Cidade São Jorge,29,12841,21.0,32.70773304259793,14.859217647461806,17.733465439932846
Guarulhos,Centro,64,24581,21.0,17.086367519628983,14.907172706720559,17.853162901081575
Santo André,Parque Capuava,29,13352,21.0,31.455961653684845,14.955127765979311,17.918180618068586
Itaquaquecetuba,Monte Belo,32,20900,21.0,20.095693779904305,15.003082825238062,18.019953407540466
Itaquaquecetuba,Corredor,60,42623,21.0,9.853834784036788,15.051037884496814,18.22750659441415
Santo André,Parque Oratório,22,11886,20.0,33.65303718660609,15.096709369505149,18.285385607603764
Guarulhos,Torres Tibagy,34,18874,20.0,21.19317579739324,15.142380854513485,18.377292766861768
Guarulhos,Tranquilidade,8,5223,20.0,76.58433850277618,15.188052339521821,18.402726225206823
Osasco,Iapi,32,12803,20.0,31.242677497461532,15.233723824530154,18.4650705804034
Santo André,Jardim Santa Cristina,24,9966,19.0,38.1296407786474,15.277111735288074,18.513600131593677
Santo André,Vila Suíça,23,8426,19.0,45.09850462853074,15.32049964604599,18.554630635138658
Guarulhos,Fortaleza,16,14962,19.0,25.397674107739604,15.36388755680391,18.627488265573025
Osasco,Jaguaribe,43,23679,19.0,16.047974998944213,15.40727546756183,18.742793427386648
Santo André,Jardim do Estádio,30,14577,19.0,26.068464018659533,15.450663378319746,18.813776295909694
Osasco,Mutinga,23,12227,19.0,31.07876012104359,15.494051289077666,18.873315812506473
Osasco,Jardim D'Abril,27,13812,18.0,26.064291920069504,15.535155625585165,18.94057350476416
Osasco,Portal D'Oeste,24,10091,18.0,35.6753542760876,15.576259962092667,18.989711744886684
Santo André,Condomínio Maracanã,23,12218,18.0,29.46472417744312,15.61736429860017,19.04920743588034
São Bernardo do Campo,Demarchi,56,25213,18.0,14.27834847102685,15.65846863510767,19.171982428270514
Osasco,Centro,40,12961,18.0,27.77563459609598,15.699572971615172,19.235096166277454
Santo André,Recreio da Borda do Campo,21,11240,18.0,32.02846975088968,15.740677308122674,19.289829475065204
Santo André,Jardim Santo André,22,9165,17.0,37.09765411893071,15.779498070379757,19.334458547577636
Itaquaquecetuba,Tipóia,27,16417,17.0,20.710239386002314,15.818318832636843,19.414401317183373
Caieiras,Vera Tereza,20,11872,17.0,28.638814016172503,15.85713959489393,19.472212157212567
Santo André,Sítio dos Vianas,16,9776,16.0,32.733224222585925,15.893676782900595,19.519816501225826
Santo André,Vila Curuçá,28,13216,16.0,24.213075060532688,15.930213970907264,19.584171964654555
Mauá,RP3 (Regiões de Planejamento),64,28522,16.0,11.219409578570929,15.966751158913933,19.7230601704592
Santo André,Parque Novo Oratório,31,16487,16.0,19.409231515739673,16.0032883469206,19.80334380586699
Santo André,Parque das Nações,30,17414,16.0,18.37601929482026,16.039825534927267,19.88814147839634
São Caetano do Sul,Nova Gerti,22,13181,16.0,24.277368940141113,16.076362722933936,19.95232650892404
Barueri,Aldeia,13,8173,16.0,39.153309678208736,16.112899910940605,19.99212502607015
Caieiras,Vila Rosina,18,7780,16.0,41.131105398457585,16.149437098947274,20.03000982521327
Barueri,Centro,32,17803,16.0,17.97449867999775,16.185974286953943,20.11670173769977
Santo André,Campestre,51,24754,15.0,12.119253453987234,16.220227900710192,20.23724162433073
Osasco,Metalúrgicos,14,8146,15.0,36.82789098944267,16.25448151446644,20.276908664667474
Osasco,Km 18,30,11929,15.0,25.148797049207815,16.288735128222694,20.334997066849773
Osasco,Castelo Branco,12,5093,15.0,58.90437855880621,16.322988741978943,20.35979748870529
Santo André,Vila Camilópolis,38,19228,15.0,15.602246723528188,16.357242355735195,20.45342845501942
Caieiras,Nova Era,12,6603,14.0,42.40496743904286,16.38921239524103,20.485581839176493
Ribeirão Pires,Aliança,24,16185,14.0,17.299969107198024,16.421182434746868,20.564394882123977
São Caetano do Sul,Oswaldo Cruz,26,13742,14.0,20.375491194877018,16.4531524742527,20.631311708579606
Barueri,Alphaville,49,24594,14.0,11.384890623729365,16.485122513758537,20.751072473377285
Santo André,Vila Assunção,37,16356,13.0,15.896307165566153,16.514808979013953,20.830718202784084
Itaquaquecetuba,Sítio Mato Dentro,30,21123,13.0,12.308857643327178,16.54449544426937,20.9335768933111
Santo André,Vila Sacadura Cabral,12,6615,13.0,39.304610733182166,16.57418190952479,20.96578871160567
São Caetano do Sul,Cerâmica,27,11814,13.0,22.007787370915864,16.603868374780205,21.0233171199703
